YEAR,IC,PMID,grp
2022,NCATS,35113535,restIRP
2022,NCATS,35194167,restIRP
2022,NCATS,35501309,restIRP
2022,NCATS,35511749,restIRP
2022,NCATS,35584006,restIRP
2022,NCATS,35702394,restIRP
2022,NCATS,35754026,restIRP
2022,NCATS,36223450,restIRP
2022,NCATS,33062952,restIRP
2022,NCATS,34394844,restIRP
2022,NCATS,35012356,restIRP
2022,NCATS,35036857,restIRP
2022,NCATS,35086793,restIRP
2022,NCATS,35169799,restIRP
2022,NCATS,35169800,restIRP
2022,NCATS,35275639,restIRP
2022,NCATS,35404596,restIRP
2022,NCATS,35440680,restIRP
2022,NCATS,35476528,restIRP
2022,NCATS,35648838,restIRP
2022,NCATS,36052127,restIRP
2022,NCATS,34570764,restIRP
2022,NCATS,34648031,restIRP
2022,NCATS,34722266,restIRP
2022,NCATS,34794473,restIRP
2022,NCATS,34811964,restIRP
2022,NCATS,34861164,restIRP
2022,NCATS,35264870,restIRP
2022,NCATS,35667088,restIRP
2022,NCATS,35969485,restIRP
2022,NCATS,34757806,restIRP
2022,NCATS,34273979,restIRP
2022,NCATS,35178190,restIRP
2022,NCATS,34010142,restIRP
2022,NCATS,35041689,restIRP
2022,NCATS,34923765,restIRP
2022,NCATS,35058177,restIRP
2022,NCATS,35108274,restIRP
2022,NCATS,35205076,restIRP
2022,NCATS,35294750,restIRP
2022,NCATS,35294751,restIRP
2022,NCATS,35294752,restIRP
2022,NCATS,35294753,restIRP
2022,NCATS,35294755,restIRP
2022,NCATS,35294756,restIRP
2022,NCATS,35294757,restIRP
2022,NCATS,35294758,restIRP
2022,NCATS,35579950,restIRP
2022,NCATS,36302175,restIRP
2022,NCATS,35294762,restIRP
2022,NCATS,35092840,restIRP
2022,NCATS,35176168,restIRP
2022,NCATS,35438992,restIRP
2022,NCATS,34139597,restIRP
2022,NCATS,34198154,restIRP
2022,NCATS,34411609,restIRP
2022,NCATS,34954894,restIRP
2022,NCATS,34990619,restIRP
2022,NCATS,35399514,restIRP
2022,NCATS,36043792,restIRP
2022,NCATS,36439493,restIRP
2022,NCATS,36449624,restIRP
2023,NCATS,35904259,restIRP
2023,NCATS,35922689,restIRP
2023,NCATS,35975669,restIRP
2023,NCATS,36065186,restIRP
2023,NCATS,36333465,restIRP
2023,NCATS,36709665,restIRP
2023,NCATS,36790955,restIRP
2023,NCATS,37113753,restIRP
2023,NCATS,37129573,restIRP
2023,NCATS,36398590,restIRP
2023,NCATS,37056373,restIRP
2023,NCATS,37451260,restIRP
2023,NCATS,36074076,restIRP
2023,NCATS,36268125,restIRP
2023,NCATS,37054948,restIRP
2023,NCATS,36883564,restIRP
2023,NCATS,37054779,restIRP
2023,NCATS,37095531,restIRP
2023,NCATS,37121274,restIRP
2023,NCATS,37140427,restIRP
2023,NCATS,37141112,restIRP
2023,NCATS,37216280,restIRP
2023,NCATS,37353483,restIRP
2023,NCATS,37356470,restIRP
2023,NCATS,37380628,restIRP
2023,NCATS,36694456,restIRP
2023,NCATS,36062265,restIRP
2023,NCATS,36150479,restIRP
2023,NCATS,36318785,restIRP
2023,NCATS,36373969,restIRP
2023,NCATS,36624666,restIRP
2023,NCATS,36845315,restIRP
2023,NCATS,36855134,restIRP
2023,NCATS,36922980,restIRP
2023,NCATS,37004072,restIRP
2023,NCATS,37025303,restIRP
2023,NCATS,37207367,restIRP
2023,NCATS,37374908,restIRP
2023,NCATS,36400200,restIRP
2023,NCATS,36049119,restIRP
2023,NCATS,35665018,restIRP
2023,NCATS,35988584,restIRP
2023,NCATS,36102902,restIRP
2023,NCATS,36172177,restIRP
2023,NCATS,36469580,restIRP
2023,NCATS,36619290,restIRP
2023,NCATS,36786055,restIRP
2023,NCATS,37200814,restIRP
2023,NCATS,37315744,restIRP
2023,NCATS,37321325,restIRP
2023,NCATS,37388277,restIRP
2023,NCATS,36371462,restIRP
2023,NCATS,36506591,restIRP
2023,NCATS,36800930,restIRP
2023,NCATS,37044067,restIRP
2023,NCATS,37105315,restIRP
2023,NCATS,37244126,restIRP
2023,NCATS,37348462,restIRP
2023,NCATS,37428210,restIRP
2023,NCATS,36589922,restIRP
2023,NCATS,36875753,restIRP
2023,NCATS,36975211,restIRP
2023,NCATS,37298526,restIRP
2023,NCATS,37610273,restIRP
2023,NCATS,37890331,restIRP
2021,NCCIH,31968264,restIRP
2021,NCCIH,32379225,restIRP
2021,NCCIH,32402292,restIRP
2021,NCCIH,32561714,restIRP
2021,NCCIH,33057202,restIRP
2021,NCCIH,33186546,restIRP
2021,NCCIH,31009537,restIRP
2021,NCCIH,32925593,restIRP
2021,NCCIH,33510158,restIRP
2021,NCCIH,32015487,restIRP
2021,NCCIH,33288781,restIRP
2021,NCCIH,33667782,restIRP
2021,NCCIH,33703868,restIRP
2021,NCCIH,34126294,restIRP
2021,NCCIH,34213859,restIRP
2021,NCCIH,34301969,restIRP
2021,NCCIH,34800622,restIRP
2021,NCCIH,34837385,restIRP
2021,NCCIH,33188006,restIRP
2021,NCCIH,34101729,restIRP
2022,NCCIH,33220232,restIRP
2022,NCCIH,33591273,restIRP
2022,NCCIH,34671781,restIRP
2022,NCCIH,35036479,restIRP
2022,NCCIH,35189353,restIRP
2022,NCCIH,35500023,restIRP
2023,NCCIH,36139481,restIRP
2023,NCCIH,36382883,restIRP
2023,NCCIH,36634173,restIRP
2023,NCCIH,37541196,restIRP
2023,NCCIH,37169581,restIRP
2023,NCCIH,36317867,restIRP
2023,NCCIH,36525362,restIRP
2023,NCCIH,37293681,restIRP
2023,NCCIH,37390595,restIRP
2023,NCCIH,35559931,restIRP
2023,NCCIH,36269044,restIRP
2023,NCCIH,36473754,restIRP
2023,NCCIH,37542159,restIRP
2021,NCI,32054861,restIRP
2021,NCI,32681068,restIRP
2021,NCI,32944614,restIRP
2021,NCI,33023952,restIRP
2021,NCI,33027083,restIRP
2021,NCI,33422353,restIRP
2021,NCI,33575208,restIRP
2021,NCI,33785256,restIRP
2021,NCI,33899001,restIRP
2021,NCI,32091594,restIRP
2021,NCI,32287068,restIRP
2021,NCI,32620889,restIRP
2021,NCI,32713678,restIRP
2021,NCI,32758451,restIRP
2021,NCI,32785640,restIRP
2021,NCI,32851660,restIRP
2021,NCI,32887990,restIRP
2021,NCI,33022221,restIRP
2021,NCI,33140823,restIRP
2021,NCI,33160309,restIRP
2021,NCI,33261561,restIRP
2021,NCI,33326576,restIRP
2021,NCI,33460452,restIRP
2021,NCI,33471991,restIRP
2021,NCI,33495599,restIRP
2021,NCI,33500318,restIRP
2021,NCI,33588869,restIRP
2021,NCI,33737296,restIRP
2021,NCI,33753454,restIRP
2021,NCI,33769540,restIRP
2021,NCI,33827983,restIRP
2021,NCI,34049357,restIRP
2021,NCI,34143885,restIRP
2021,NCI,34146516,restIRP
2021,NCI,34234117,restIRP
2021,NCI,34301922,restIRP
2021,NCI,34349265,restIRP
2021,NCI,34446472,restIRP
2021,NCI,32252233,restIRP
2021,NCI,32817318,restIRP
2021,NCI,33197463,restIRP
2021,NCI,33809689,restIRP
2021,NCI,31964738,restIRP
2021,NCI,32084246,restIRP
2021,NCI,33112230,restIRP
2021,NCI,33270927,restIRP
2021,NCI,33518406,restIRP
2021,NCI,34319781,restIRP
2021,NCI,32697622,restIRP
2021,NCI,33158997,restIRP
2021,NCI,32385863,restIRP
2021,NCI,32418327,restIRP
2021,NCI,32981130,restIRP
2021,NCI,33060684,restIRP
2021,NCI,33171880,restIRP
2021,NCI,33510133,restIRP
2021,NCI,33708401,restIRP
2021,NCI,33953926,restIRP
2021,NCI,32321756,restIRP
2021,NCI,32612609,restIRP
2021,NCI,31925935,restIRP
2021,NCI,32283231,restIRP
2021,NCI,32614957,restIRP
2021,NCI,32926120,restIRP
2021,NCI,33090998,restIRP
2021,NCI,34728343,restIRP
2021,NCI,31949145,restIRP
2021,NCI,32118579,restIRP
2021,NCI,32350255,restIRP
2021,NCI,33135727,restIRP
2021,NCI,31054214,restIRP
2021,NCI,32072624,restIRP
2021,NCI,32657348,restIRP
2021,NCI,32657349,restIRP
2021,NCI,32833021,restIRP
2021,NCI,32915234,restIRP
2021,NCI,32942303,restIRP
2021,NCI,33010161,restIRP
2021,NCI,33011212,restIRP
2021,NCI,33073922,restIRP
2021,NCI,33181833,restIRP
2021,NCI,33181839,restIRP
2021,NCI,33187970,restIRP
2021,NCI,33316174,restIRP
2021,NCI,33347809,restIRP
2021,NCI,33392786,restIRP
2021,NCI,33395353,restIRP
2021,NCI,33431958,restIRP
2021,NCI,33473166,restIRP
2021,NCI,33554351,restIRP
2021,NCI,33661398,restIRP
2021,NCI,33704460,restIRP
2021,NCI,33752181,restIRP
2021,NCI,33820799,restIRP
2021,NCI,33917779,restIRP
2021,NCI,34153328,restIRP
2021,NCI,34160068,restIRP
2021,NCI,34244895,restIRP
2021,NCI,34280845,restIRP
