institution,lat,lon,source
Washington University of St. Louis,38.64724,-90.30840,nominatim
Weill Cornell Medicine,40.76701,-73.95470,nominatim
"Weill Cornell Medicine, Department of Psychiatry",40.76701,-73.95470,nominatim
"Weizmann Institute of Science, Neuroscience",31.90785,34.81334,nominatim
West Virginia University,39.63484,-79.95421,nominatim
West Virginia University Hospitals,39.65446,-79.95907,nominatim
Worcester Polytechnic Institute,42.27432,-71.80846,nominatim
"Yale Child Study Center, Yale Child Study Center",41.30400,-72.92900,hand:New Haven CT
"Yale University, Child Study Center",41.25713,-72.98967,nominatim
"Yale University, Dept. of Psychology",41.25713,-72.98967,nominatim
"Yale University, PET Center",41.25713,-72.98967,nominatim
"Yale University, Psychiatry",41.25713,-72.98967,nominatim
"Yale University, School of Medicine",41.25713,-72.98967,nominatim
"York University, Psychology",40.72897,-73.99447,nominatim
Zucker Hillside Hospital,40.75107,-73.71093,nominatim
universita' di milano,45.48001,9.22824,nominatim
university oregon,44.04442,-123.07176,nominatim
